Number    FibR (Seconds)      FiboNR (Seconds)    Fibo-Value
01        0.000001            0.000011            1
05        0.000000            0.000000            5
10        0.000001            0.000001            55
15        0.000006            0.000000            610
20        0.000075            0.000000            6765
25        0.000782            0.000001            75025
30        0.007622            0.000001            832040
35        0.084945            0.000001            9227465
40        0.925959            0.000001            102334155
45        10.250280           0.000002            1134903170
50        113.741066          0.000002            12586269025
55        1270.145142         0.000001            139583862445
60        14145.756836        0.000001            1548008755920
